[INFO][2017-06-28 13:12:28,191][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:12:28,191][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:12:28,292][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:21:43,458][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:22:05,286][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:22:05,319][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:22:05,412][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:22:05,416][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:22:05,418][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:22:05,433][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:22:05,775][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:22:05,853][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:22:05,856][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2017-06-28 13:22:05,965][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:22:05,965][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:22:05,967][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:22:05,983][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:22:05,984][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:22:05,984][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:22:05,984][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:22:05,984][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:23:44,970][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:24:00,193][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:24:00,226][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:24:00,322][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:24:00,326][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:24:00,327][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:24:00,328][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:24:00,664][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:24:00,748][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:24:00,751][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:24:00,940][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:24:01,050][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:24:01,050][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:24:01,053][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:24:01,068][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:24:01,069][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:24:01,069][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:24:01,069][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:24:01,070][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[ERROR][2017-06-28 13:27:19,073][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:27:19,109][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:27:19,215][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:27:19,219][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:27:19,220][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:27:19,221][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:27:19,586][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:27:19,664][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:27:19,668][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:27:19,887][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:27:19,985][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:27:19,985][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:27:19,990][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:27:20,008][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:27:20,008][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:27:20,008][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:27:20,009][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:27:20,009][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:27:23,183][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:27:37,598][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:27:37,636][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:27:37,741][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:27:37,745][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
